tconst,primaryTitle,startYear,averageRating,numVotes,weighted_rating,genres,synopsis
tt0004972,The Birth of a Nation,1915,6.1,28274,6.182425544614764,"Drama,War","Two families, abolitionist Northerners the Stonemans and Southern landowners the Camerons, intertwine. When Confederate colonel Ben Cameron is captured in battle, nurse Elsie Stoneman petitions for his pardon. In Reconstruction-era South Carolina, Cameron founds the Ku Klux Klan, battling Elsie's congressman father and his African-American protégé, Silas Lynch."
tt0006864,Intolerance,1916,7.6,17948,6.554232025845698,"Drama,History","The story of a poor young woman, separated by prejudice from her husband and baby, is interwoven with tales of intolerance from throughout history."
tt0009968,Broken Blossoms,1919,7.2,11782,6.391373245999913,"Drama,Romance","A frail waif, abused by her brutal boxer father in London's seedy Limehouse District, is befriended by a sensitive Chinese immigrant with tragic consequences."
tt0010323,The Cabinet of Dr. Caligari,1920,8.0,76187,7.241620928292367,"Horror,Mystery,Thriller","Francis, a young man, recalls in his memory the horrible experiences he and his fiancée Jane recently went through. Francis and his friend Alan visit The Cabinet of Dr. Caligari, an exhibit where the mysterious doctor shows the somnambulist Cesare, and awakens him for some moments from his death-like sleep."
tt0012349,The Kid,1921,8.2,145557,7.645562645547339,"Comedy,Drama,Family",A tramp cares for a boy after he's abandoned as a newborn by his mother. Later the mother has a change of heart and aches to be reunited with her son.
tt0012364,The Phantom Carriage,1921,8.0,15716,6.608771489726419,"Drama,Fantasy,Horror","An alcoholic, abusive ne'er-do-well is shown the error of his ways through a legend that dooms the last person to die on New Year's Eve before the clock strikes twelve to take the reins of Death's chariot and work tirelessly collecting fresh souls for the next year."
tt0013257,Häxan,1922,7.6,19146,6.5707392638356374,"Documentary,Fantasy,Horror","Grave robbing, torture, possessed nuns, and a satanic Sabbath: Benjamin Christensen's legendary film uses a series of dramatic vignettes to explore the scientific hypothesis that the witches of the Middle Ages suffered the same hysteria as turn-of-the-century psychiatric patients. But the film itself is far from serious-- instead it's a witches' brew of the scary, gross, and darkly humorous."
tt0013427,Nanook of the North,1922,7.6,14417,6.502345377622948,Documentary,"This pioneering documentary film depicts the lives of the indigenous Inuit people of Canada's northern Quebec region. Although the production contains some fictional elements, it vividly shows how its resourceful subjects survive in such a harsh climate, revealing how they construct their igloo homes and find food by hunting and fishing. The film also captures the beautiful, if unforgiving, frozen landscape of the Great White North, far removed from conventional civilization."
tt0013442,Nosferatu,1922,7.8,123292,7.303079135068726,"Fantasy,Horror","The mysterious Count Orlok summons a happily married real estate agent to his castle, located up in the Transylvanian mountains, to finalise a terrifying deal."
tt0014341,Our Hospitality,1923,7.7,13541,6.507930099247936,"Comedy,Romance,Thriller","A young man falls for a young woman on his trip home; unbeknownst to him, her family has vowed to kill every member of his family."
tt0014429,Safety Last!,1923,8.1,24828,6.794602367558536,"Action,Comedy,Romance","When a store clerk organizes a contest to climb the outside of a tall building, circumstances force him to make the perilous climb himself."
tt0015064,The Last Laugh,1924,8.0,16508,6.623812249620065,Drama,"An aging doorman, after being fired from his prestigious job at a luxurious hotel, is forced to face the scorn of his friends, neighbours and society."
tt0015163,The Navigator,1924,7.5,12038,6.446883212142514,"Action,Adventure,Comedy","The wealthy and impulsive Rollo Treadway decides to propose to his beautiful socialite neighbor, Betsy O'Brien. Although Betsy turns Rollo down, he still opts to go on the cruise that he intended as their honeymoon. When circumstances find both Rollo and Betsy on the wrong ship, they end up having adventures on the high seas."
tt0015324,Sherlock Jr.,1924,8.1,65663,7.230062648842414,"Action,Comedy,Romance","A film projectionist longs to be a detective, and puts his meager skills to work when he is framed by a rival for stealing his girlfriend's father's pocketwatch."
tt0015648,Battleship Potemkin,1925,7.9,65093,7.119145431820483,"Drama,History,Thriller","A dramatized account of a great Russian naval mutiny and a resultant public demonstration, showing support, which brought on a police massacre."
tt0015864,The Gold Rush,1925,8.1,128084,7.523852850616157,"Adventure,Comedy,Drama",A gold prospector in Alaska struggles to survive the elements and win the heart of a dance hall girl.
tt0015881,Greed,1924,8.0,11582,6.5246036694513645,"Drama,Thriller,Western","When housewife Trina wins the lottery, her comfortable life with her dentist husband John slowly deteriorates, in part by her own increasing paranoia and partly by the machinations of villainous acquaintance Marcus."
tt0016220,The Phantom of the Opera,1925,7.5,22183,6.582237207095362,"Horror,Music",The deformed Phantom who haunts the Paris Opera House causes murder and mayhem in an attempt to make the woman he loves a star.
tt0016332,Seven Chances,1925,7.8,13146,6.520001388069337,"Comedy,Romance","Struggling stockbroker Jimmie Shannon learns that, if he gets married by 7 p.m. on his 27th birthday -- which is today -- he'll inherit $7 million from an eccentric relative."
tt0016847,Faust,1926,8.1,18271,6.680507446204476,"Drama,Fantasy,Horror",God and Satan wager on the soul of a learned and prayerful alchemist as part of their eternal war over Earth.
tt0017075,The Lodger: A Story of the London Fog,1927,7.3,15016,6.448736208893607,"Crime,Drama,Mystery","London. A mysterious serial killer brutally murders young blond women by stalking them in the night fog. One foggy, sinister night, a young man who claims his name is Jonathan Drew arrives at the guest house run by the Bunting family and rents a room."
tt0017136,Metropolis,1927,8.2,201073,7.764947526053616,"Drama,Sci-Fi","In a futuristic city sharply divided between the rich and the poor, the son of the city's mastermind meets a prophet who predicts the coming of a savior to mediate their differences."
tt0017925,The General,1926,8.1,106196,7.446460804882461,"Action,Adventure,Comedy","During America’s Civil War, Union spies steal engineer Johnny Gray's beloved locomotive, 'The General'—with Johnnie's lady love aboard an attached boxcar—and he single-handedly must do all in his power to both get The General back and to rescue Annabelle."
tt0018037,The Jazz Singer,1927,6.4,11908,6.254105331371189,"Drama,Music,Musical","A young Jewish man is torn between tradition and individuality when his old-fashioned family objects to his career as a jazz singer. This is the first full length feature film to use synchronized sound, and is the original film musical."
tt0018455,Sunrise,1927,8.1,56704,7.161367120539079,"Drama,Romance","A married farmer falls under the spell of a slatternly woman from the city, who tries to convince him to drown his wife."
tt0018528,The Unknown,1927,7.7,10273,6.449805335202601,"Drama,Horror,Romance","On the lam, criminal Alonzo hides in the circus as The Armless Wonder—a performer who uses his feet to hurl knives. Alonzo keeps the arms he really has concealed to hide his identity. Meanwhile, ringmaster's daughter Nanon has a phobia of being touched by men, but is romantically pursued by not only Alonzo but the strongman Malabar. Alonzo's desperation to remain with Nanon will only end in tragedy."
tt0018578,Wings,1927,7.5,16276,6.508000090655861,"Action,Drama,Romance","Two young men, one rich, one middle class, both in love with the same woman, become US Air Corps fighter pilots and, eventually, heroic flying aces during World War I. Devoted best friends, their mutual love of the girl eventually threatens their bond. Meanwhile, a hometown girl who's the lovestruck lifelong next door neighbor of one of them pines away."
tt0018737,Pandora's Box,1929,7.7,12922,6.497339138937372,"Crime,Drama,Romance",The rise and inevitable fall of an amoral but naive young woman whose insouciant eroticism inspires lust and violence in those around her.
tt0018742,The Cameraman,1928,8.0,14539,6.5858018794006465,"Comedy,Drama,Family",A photographer takes up newsreel shooting to impress a secretary.
tt0018773,The Circus,1928,8.1,38518,6.982188242199534,"Comedy,Family,Romance","Charlie, a wandering tramp, becomes a circus handyman - soon the star of the show - and falls in love with the circus owner's stepdaughter."
tt0018806,The Crowd,1928,8.0,10013,6.489930215931879,"Drama,Romance","John, an ambitious but undisciplined New York City office worker, meets and marries Mary. They start a family, struggle to cope with marital stress, financial setbacks, and tragedy, all while lost amid the anonymous, pitiless throngs of the big city."
